排名,登记日,股票,每10股派息,最新股价,本次股息率
174,2026-07-07,002222 福晶科技,1.0,80.51,0.1242
175,2026-07-09,688171 纬德信息,0.45,38.79,0.116
176,2026-07-08,301382 蜂助手,0.5,44.94,0.1113
177,2026-07-09,002544 普天科技,0.185,17.69,0.1046
178,2026-07-08,603685 晨丰科技,0.3,29.55,0.1015
179,2026-07-08,002654 万润科技,0.18,18.76,0.0959
180,2026-07-07,688261 东微半导,0.754,85.17,0.0885
181,2026-07-09,300337 银邦股份,0.1,11.42,0.0876
182,2026-07-08,688001 华兴源创,0.52,68.0,0.0765
183,2026-07-09,920438 戈碧迦,1.007,133.0,0.0757
184,2026-07-09,300527 ST应急,0.0526,7.26,0.0725
185,2026-07-09,300161 华中数控,0.2,31.01,0.0645
186,2026-07-07,002931 锋龙股份,0.5,79.6,0.0628
187,2026-07-09,600869 远东股份,0.1,25.61,0.039
188,2026-07-07,301487 盟固利,0.0601,19.34,0.0311
189,2026-07-09,300862 蓝盾光电,0.05,19.08,0.0262
190,2026-07-09,603068 博通集成,0.1,39.16,0.0255
